code14,name14,prov14,name_carto,code24,name24,label04,idh04,src04,taux_pauvrete04,vulnerabilite04,severite04,inegalite04,ids04,mpi_rate04c,mpi_idx04c,mpi_int04c,mpi_rate14c,mpi_idx14c,mpi_int14c,pov_glob14c,mpi2014,mpi2024,mpi_intensity2014,mpi_intensity2024,mpi_rate2014,mpi_rate2024,vulnerability2014,vulnerability2024,menages14,population14,level,cercle,src14,src24
02.275.03.03.,Gafait,Jerada,Gafait,22750703.0,Commune de Gafait,Jerada Gafait,0.466,direct,21.72,22.31,2.64,33.38,0.748,34.28786849975586,15.78539752960205,46.0378532409668,12.236446380615234,5.1225738525390625,41.86324691772461,21.72442,0.06586764007806778,0.0641600489616394,41.26048278808594,40.71815872192383,15.963855743408203,15.757109642028809,21.009037017822266,15.295926094055176,486.0,2656.0,commune,02.275.03.,,
02.275.03.05.,Guenfouda,Jerada,Guenfouda,22750905.0,Commune de Guenfouda,Jerada Guenfouda,0.534,direct,32.01,25.13,4.28,34.62,0.503,34.88169860839844,15.274879455566406,43.790523529052734,13.48595905303955,5.514815807342529,40.89301681518555,20.050060000000002,0.06926807016134262,0.03276503086090088,41.28761291503906,38.64784240722656,16.776962280273438,8.477842330932617,20.71185874938965,10.527237892150879,1167.0,5591.0,commune,02.275.03.,,
02.275.03.07.,Laaouinate,Jerada,Laaouinate,22750707.0,Commune de Laaouinate,Jerada Laaouinate,0.514,direct,28.21,22.97,3.79,34.94,0.594,41.108177185058594,18.905014038085938,45.98844909667969,24.773725509643555,10.047985076904297,40.55903625488281,31.005940000000002,0.11450163275003433,0.0602363646030426,41.69282531738281,40.938602447509766,27.463150024414062,14.71382999420166,25.161624908447266,28.469663619995117,703.0,3867.0,commune,02.275.03.,,
02.275.03.09.,Lebkhata,Jerada,Lebkhata,22750709.0,Commune de Lebkhata,Jerada Lebkhata,0.479,direct,49.03,22.96,8.28,33.28,0.441,41.123329162597656,18.517065048217773,45.02812194824219,11.791730880737305,5.074868202209473,43.03751754760742,19.71669,0.07023140788078308,0.0689142495393753,40.94742202758789,39.70773696899414,17.151607513427734,17.355371475219727,19.869831085205078,15.505706787109375,466.0,2612.0,commune,02.275.03.,,
02.275.03.13.,Ras Asfour,Jerada,Ras Asfour,22750913.0,Commune de Ras Asfour,Jerada Ras Asfour,0.509,direct,33.45,26.21,4.21,30.47,0.316,50.05903244018555,21.72701072692871,43.40277862548828,17.974882125854492,7.264957427978516,40.417274475097656,24.33283,0.0972004160284996,0.10135076195001602,41.27777862548828,40.89310836791992,23.547880172729492,24.784313201904297,22.919937133789062,20.54901885986328,252.0,1274.0,commune,02.275.03.,,
02.275.03.15.,Sidi Boubker,Jerada,Sidi Boubker,22750915.0,Commune de Sidi Boubker,Jerada Sidi Boubker (AC),0.705,fuzzy,20.28,21.28,2.23,56.5,,22.658958435058594,9.723828315734863,42.91383361816406,8.870967864990234,3.733572483062744,42.08754348754883,21.63976,0.03588844835758209,0.02221701294183731,38.48525529851328,37.27697523952596,9.325246244781933,5.959982977770094,12.282031505735107,11.36653895944471,568.0,2638.0,commune,02.275.03.,,
02.275.03.21.,Tiouli,Jerada,Tiouli,22750921.0,Commune de Tiouli,Jerada Tiouli,0.446,direct,41.88,25.04,6.26,33.25,0.247,67.91666412353516,33.64326477050781,49.536094665527344,39.36686325073242,17.544607162475586,44.56694030761719,47.68880000000001,0.14397473633289337,0.057732827961444855,42.45743821194181,39.11285547764564,33.910367655877906,14.760576188979954,15.656856976098386,16.82938113205935,971.0,5199.0,commune,02.275.03.,,
02.275.05.01.,Bni Mathar,Jerada,Bni Mathar,22750501.0,Commune de Bni Mathar,Jerada Bni Mathar,0.453,direct,37.03,25.18,5.33,34.16,0.456,47.93727111816406,24.948198318481445,52.043426513671875,28.883031845092773,13.315622329711914,46.101890563964844,40.32454,0.14599312841892242,0.09154900163412094,45.318702697753906,40.87386703491211,32.21476364135742,22.397930145263672,15.699904441833496,18.35346031188965,1469.0,8870.0,commune,02.275.05.,,
02.275.05.11.,Mrija,Jerada,Mrija,22750511.0,Commune de Mrija,Jerada Mrija,0.43,direct,42.99,24.5,6.83,36.13,0.379,66.56106567382812,33.86327362060547,50.87549591064453,32.86692428588867,14.30319881439209,43.51852035522461,37.364940000000004,0.1512851119041443,0.07738439738750458,43.61945724487305,41.209693908691406,34.68294143676758,18.778202056884766,14.0220308303833,12.912182807922363,581.0,3359.0,commune,02.275.05.,,
02.275.05.13.,Oulad Ghziyel,Jerada,,22750513.0,Commune d'Ouled Ghziyel,Jerada Oulad Ghziyel,0.399,direct,62.44,19.9,13.67,35.48,0.215,,,,,,,,0.23370705544948578,0.1250477284193039,43.67564010620117,40.88639450073242,53.50970458984375,30.584192276000977,18.293006896972656,25.0,1074.0,7522.0,commune,02.275.05.,,
