code14,sex,population14,age_0_4,age_5_9,age_10_14,pct_illiterate,activity_rate,unemployment_rate,pop_active_occupee,pct_agriculture,pct_no_diploma,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75plus,pct_disability,pct_single,pct_married,pct_divorced,pct_widowed,age_first_marriage,school_enrolment,edu_preschool,edu_primary,edu_lower_secondary,edu_upper_secondary,edu_higher,dipl_primary,dipl_lower_secondary,dipl_upper_secondary,dipl_bachelor,dipl_master,voc_specialised_technician,voc_technician,voc_qualification,voc_specialisation,voc_initiation,pct_no_voc_diploma,lang_darija,lang_tachelhit,lang_tamazight,lang_tarifit,lang_hassania,lit_arabic_only,lit_arabic_french,lit_arabic_french_english,lit_other,pct_employer,pct_self_employed,pct_public_employee,pct_private_employee,pct_family_worker,pct_apprentice,pct_partner,pct_status_other,occ_managers,occ_technicians,occ_clerks,occ_traders,occ_farmers,occ_craft,occ_agri_workers,occ_operators,occ_labourers,occ_unclassified,sec_industry,sec_utilities,sec_construction,sec_trade,sec_transport,sec_services,sec_public,sec_other,pct_no_education,age_60plus,age_65plus,pct_higher_ed
01.051.01.01.,female,27966.0,8.0347564900236,6.6330544232282,6.74032754058499,32.8094220210402,24.2777196414759,40.1049475262368,3196,0.625782227784731,51.6635936976198,8.05978688407351,9.00736608739183,9.02524494028463,8.30293928341557,7.30887506257598,7.03354072802689,6.94772223414145,6.67953944074948,4.89165415146964,3.67589215475935,2.29922048201387,2.30279625259243,3.05728384466852,5.1169276979189,50.1644854466137,39.4729314167203,2.28134162912107,8.08124150754487,29.4541747542692,97.6432532347504,3.67231638418079,22.4486876921976,13.9812629621683,14.2637488378745,8.90009297003504,17.8343949044586,13.7613141133087,11.2889708347301,4.58012068387529,0.838082467314784,2.91233657391887,2.891384512236,2.66929265839758,0.649513912168957,1.01407978545088,89.8508213208179,72.330625272015,0.714492963876396,0.63832873930074,89.0468591324532,0.050776149717104,22.9737353475835,36.751708142669,19.7392339998746,20.5353225098727,1.77396280400572,13.4763948497854,38.6838340486409,42.5178826895565,0.944206008583691,0.286123032904149,1.83118741058655,0.486409155937053,23.3729662077597,13.0475594493116,23.7484355444305,1.87734668335419,0.156445556946183,12.70337922403,0.312891113892365,0.156445556946183,20.244055068836,4.38047559449311,8.88610763454318,0.750938673341677,1.28285356695869,6.60200250312891,1.3767209011264,27.9724655819774,48.5919899874843,3.91113892365456,36.7338911535435,11.33519273403417,7.65930057927482,5.418203151190074
01.051.01.01.,male,27591.0,8.52089449458156,6.68333876988873,7.37921786089666,13.6231512353594,74.7799625468164,14.7999749577411,13609,8.81034609449628,37.8697213198837,7.93737088180928,9.47772824471748,10.4563082164473,9.62270305534413,6.95879091007937,6.45137907288608,5.74100250081548,6.13605885977311,5.10673770432387,3.21119205538037,1.81580950309883,1.92091624080316,2.58055162915443,5.33144866079518,60.2297850748432,38.7445181399731,0.525533688521619,0.500163096661955,35.0604268428751,98.3230361871138,5.47279910115617,28.0163821536008,19.3722590699865,14.4431155086803,13.6276321989054,25.2008890408616,15.3829714481107,11.9422123439904,7.34740981364335,2.21405368439049,2.76115575312019,4.44093007351684,4.85553085997606,1.1540434262267,0.923234740981364,85.843733971619,80.8288632522595,1.18671467411272,0.999338672937027,87.1114703505033,0.036740392387391,23.3187642793284,36.5302473428032,17.5772325419688,22.5737558358994,4.30264993026499,26.1994421199442,22.3849372384937,42.670850767085,1.42259414225941,0.481171548117155,2.11297071129707,0.425383542538354,11.235211992064,4.53376442060401,21.992798883092,11.6540524652803,1.46226761701815,21.0008082886325,6.82636490557719,6.74553604232493,11.9406275259019,2.60856785950474,5.73150121243294,1.12425600705415,15.3721801748842,20.9346755823352,8.00940554045117,14.4683665221544,22.3234624145785,3.2258064516129,19.0678119676706,9.52846942843679,6.31727737305642,9.56146349803384
01.051.01.03.,female,9192.0,9.44299390774586,7.40861618798955,7.71322889469103,45.4795237472196,9.08566483991923,59.2063492063492,257,0.778210116731518,65.4585895590736,9.44299390774586,8.95343777197563,9.49738903394255,8.2680591818973,6.70147954743255,6.45126196692776,6.65796344647519,5.559181897302,4.05787641427328,3.08964316797215,1.72976501305483,2.02349869451697,3.00261096605744,6.14664926022628,52.6762402088772,39.1209747606614,1.07702349869451,7.12576153176675,30.0191011302516,95.3428201811125,3.02436901653611,22.6827676240208,12.1845082680591,8.31157528285465,3.57919930374238,17.466963234332,10.2054167211827,4.74944393562737,1.94949627109773,0.17009027868638,0.523354703650399,0.654193379562999,0.366348292555279,0.18317414627764,0.392516027737799,97.8804134502158,45.7092433267152,0.540480917714538,0.628722700198544,95.3452459739686,0.011030222810501,27.4438812454742,38.2331643736422,13.6133236784938,20.7096307023895,3.09278350515463,22.680412371134,31.9587628865979,37.4570446735395,2.06185567010309,0.0,2.06185567010309,0.687285223367698,26.8482490272373,11.6731517509727,15.1750972762645,1.94552529182879,0.389105058365759,21.0116731517509,0.389105058365759,0.389105058365759,18.6770428015564,3.50194552529182,14.7859922178988,3.11284046692607,3.50194552529182,8.17120622568093,0.389105058365759,21.4007782101167,43.9688715953307,3.89105058365758,50.2175805047867,9.84551784160139,6.75587467362924,2.1195865497841098
01.051.01.03.,male,9074.0,9.87436632135772,7.90169715671148,8.57394754242891,21.6861010588393,71.9736645219213,17.1101871101871,3987,5.39252570855279,51.9635437608899,10.1719197707736,10.0066122988759,10.3262067445448,9.25721842627286,6.2596429358607,5.45514657262508,4.92616266255234,4.44126074498567,3.84615384615384,2.64491955036367,1.75225920211593,1.82940268900154,2.73308353537579,6.12739695834251,63.4670487106017,35.8166189111747,0.242450958783337,0.473881419440159,34.3293004232976,98.2456140350877,7.04209830284328,30.284328851664,18.3381088825214,8.54088604804937,7.71434868856072,25.3853370861814,11.2719474601259,5.50864495375955,4.94571773220747,0.911405977750972,0.763972657820668,2.15788768261627,1.87642407184023,0.495912076129205,0.509315105213778,94.1830853772952,65.4399464703914,0.691424110627858,0.814096130255381,94.7251031560165,0.033456005352961,29.2360515021459,36.8583690987124,12.5665236051502,21.3390557939914,2.79038112522686,35.8666061705989,10.9800362976406,46.3702359346642,2.26860254083484,0.272232304900181,1.31578947368421,0.136116152450091,6.24529721595184,1.55505392525708,14.0456483571607,14.0707298720842,3.23551542513167,32.8567845497868,1.37948332079257,6.09480812641083,19.2876849761725,1.22899423125156,6.67168296965136,0.953097567093052,32.9821921244043,23.3007273639327,6.52119388011035,10.860295961876,11.3870077752696,1.9312766491096,28.080229226361,8.95966497685693,6.3147454264932605,5.857123709958442
01.051.01.05.,female,16836.0,9.23616060822048,7.50772154906153,7.28201473033974,42.0703431547406,11.0546477992338,53.8896746817538,652,0.920245398773006,64.279089676821,9.27179852696602,9.50344499881207,9.3727726300784,8.14920408648135,7.08600617723924,6.58707531480161,6.11784271798527,5.76146353052981,4.33000712758374,3.02328344024709,1.68092183416488,2.00166310287479,3.08861962461392,5.41102399619862,51.4967925873129,39.5699691138037,1.67498218104062,7.25825611784271,29.1209896914014,97.228144989339,3.69446424328819,24.5070087906866,11.6298408172962,9.18270373010216,4.08648134948919,17.4074338303488,10.2875080259684,5.63601341228508,2.15452664621531,0.235428408361276,0.913176856674039,0.848969108939145,0.77049297281872,0.15695227224085,0.513661981879147,96.7824784190625,51.6309244908992,0.648765543341143,0.38445365531327,94.2932660539436,0.00600708836427,22.972472534255,25.0833230465374,10.8752005925194,41.069003826688,2.89473684210526,19.6052631578947,28.1578947368421,46.3157894736842,1.05263157894736,0.921052631578947,0.657894736842105,0.394736842105263,24.0797546012269,10.122699386503,14.1104294478527,2.76073619631901,0.306748466257669,24.0797546012269,0.613496932515337,0.153374233128834,21.1656441717791,2.60736196319018,20.3987730061349,1.3803680981595,1.3803680981595,8.12883435582822,1.68711656441717,24.2331288343558,40.0306748466257,1.84049079754601,46.8995010691375,9.794488001900682,6.77120456165359,2.389955054576586
01.051.01.05.,male,16657.0,9.97778711652758,7.79251966140361,7.7745092153449,18.4360397196261,75.8506692468956,18.6988412884022,7648,3.88336820083682,50.3759947433744,9.65359908747073,10.476076124152,11.2265113765984,8.7170558924176,6.76592423605691,5.74533229272978,5.06693882451822,4.67671249324608,4.08236777330851,2.49744852014168,1.45884613075583,1.6749714834604,2.41339977186768,5.66728702647535,62.7243801404814,36.5011706789938,0.390226331272138,0.384222849252567,33.8738829805049,97.3930481283422,7.37227592003361,31.4042144443777,18.7608813111604,9.25136579215945,7.38428288407276,26.5751624443308,11.4550631525151,6.23494195809301,4.67255603416806,0.678980798715047,1.03672337008104,2.16835803460611,1.95663283930787,0.416149521793093,0.686281667518435,93.72855369789,70.7792207792207,1.08022818303192,0.801068090787717,92.6872193227333,0.012137395314965,24.5853133686003,25.7957500224154,9.18138617412355,40.4375504348605,3.95182976733309,31.8835496317081,11.0721384309598,47.1179703028177,2.63065591020694,0.678124634631124,2.43189524143575,0.233836080907284,5.89696652719665,1.79131799163179,15.9780334728033,15.847280334728,1.90899581589958,29.3933054393305,1.58211297071129,4.4194560669456,21.5088912133891,1.67364016736401,8.85198744769874,0.719142259414226,26.1767782426778,30.2955020920502,5.45240585774058,10.8002092050209,12.1338912133891,1.68671548117154,25.8269796481959,8.044665906225589,5.54721738608391,5.351536832883107
01.051.01.07.,female,6638.0,10.0030129557095,9.5811991563724,8.57185899367279,36.2120644436118,16.7330677290836,49.8746867167919,400,0.75,59.2918696140876,9.85236517023199,10.1687255197348,9.23470924977402,8.64718288641156,7.45706538113889,5.96565230491111,4.91111780656824,4.54956312142211,3.44983428743597,2.51581801747514,1.53660741187104,1.5516721904188,2.00361554685146,4.20307321482374,52.95269659536,39.4546550165712,1.8529677613739,5.73968062669478,27.5038502370041,97.5574712643678,4.18800843627598,25.489605302802,12.9105152154263,8.81289545043687,6.40253088279602,19.1832146871487,10.5095541401273,6.6129636568003,4.15886099662795,0.224803297115024,1.03034844511052,1.38628699887598,0.974147620831772,0.449606594230049,0.786811539902585,95.3540651929561,98.67700729927,1.26216545012165,2.00729927007299,44.8905109489051,0.015206812652068,29.0882352941176,44.8235294117647,22.3529411764705,3.73529411764705,2.2271714922049,19.8218262806236,34.2984409799554,38.0846325167037,2.2271714922049,0.44543429844098,2.2271714922049,0.66815144766147,23.0,10.75,17.75,2.5,0.5,17.75,0.25,0.25,22.75,4.5,14.5,1.5,0.5,10.5,1.0,24.5,43.75,3.0,42.1964447122627,7.607713166616439,5.0918951491413,4.3836642937429735
01.051.01.07.,male,6746.0,11.4882893566557,8.3901571301512,8.76074710939816,15.3561517113783,75.8412962193602,12.2432210353327,3204,5.33707865168539,46.1794634597594,9.17580788615476,9.88734064630892,9.26474948117402,8.92380670026682,6.64097242810554,6.41861844055736,5.33649570115624,4.84731692855025,3.60213459828046,2.57930625555885,1.37859472279869,1.11176993774088,2.19389267714201,4.3284909576045,61.5031129558256,37.5481766973021,0.578120367625259,0.370589979246961,32.6304151362227,98.6803519061583,6.72991402312481,29.8843759264749,18.1737325822709,10.5840498072932,9.26474948117402,25.7169287696577,13.2099907493061,7.77058279370952,6.04995374653098,1.01757631822386,1.11008325624421,3.31174838112858,1.68362627197039,0.536540240518039,0.61054579093432,92.6734505087881,98.7837837837837,2.14714714714714,2.04204204204204,43.3033033033033,0.0,29.951796669588,43.5801928133216,20.3549517966695,6.11305872042068,4.1407867494824,34.7530316474415,15.1730257320319,35.3445726116533,4.93936705116829,0.976042590949423,3.43093759242827,1.24223602484472,8.73907615480649,2.30961298377028,16.1048689138576,15.7615480649188,3.62047440699126,24.8439450686641,1.49812734082397,4.21348314606741,21.067415730337,1.84144818976279,5.52434456928839,0.998751560549313,17.3845193508114,36.1735330836454,4.99375780274656,12.8277153558052,14.7003745318352,2.05992509363295,25.363178179662,7.2635635932404305,4.68425733768158,7.067530064754839
01.051.01.09.,female,2661.0,8.26756858323938,6.46373543780533,7.36565201052236,38.5632437197003,16.642547033285,47.8260869565217,180,0.0,59.5416483032172,6.98985343855693,7.21533258173618,8.75610672679443,8.11724915445321,8.68094701240135,7.6662908680947,6.68921458098459,6.20067643742953,5.18602029312288,3.532506576475,2.32995114618564,2.5554302893649,3.98346486283352,5.82487786546411,51.0334460729049,38.8199924840285,1.65351371664787,8.49304772641864,29.8002459240674,99.5327102803738,2.21721157459601,27.8842540398346,11.2363773017662,10.8605787298008,6.01277715144682,19.0392243278977,9.29925077126487,8.99074482150727,2.77655354781842,0.352578228294403,1.76289114147201,1.76289114147201,1.18995152049361,0.220361392684002,0.308505949757603,94.7553988541207,64.5368620037807,0.793950850661626,0.075614366729679,95.8412098298676,0.037807183364839,26.6140602582496,41.6068866571018,21.0903873744619,10.6886657101865,3.60824742268041,12.8865979381443,34.5360824742268,44.8453608247422,1.54639175257732,0.0,2.57731958762886,0.0,24.4444444444444,12.7777777777777,18.8888888888888,3.88888888888888,0.0,13.8888888888888,0.555555555555556,0.0,23.8888888888888,1.66666666666666,8.88888888888889,0.555555555555556,0.0,7.22222222222222,1.11111111111111,27.2222222222222,46.1111111111111,8.88888888888889,41.7888012025554,12.40135287485906,8.86884629838406,3.129131776112823
01.051.01.09.,male,2653.0,8.33019223520542,7.91556728232189,7.01093102148511,15.6615661566156,75.4420432220039,11.9140625,1353,5.09977827050997,41.4941494149414,7.31247644176404,7.6894082171127,7.95326045985676,9.08405578590275,8.44327176781002,7.65171503957783,6.59630606860158,6.21937429325292,4.86241990199773,3.35469280060309,2.52544289483603,2.2238974745571,2.82698831511496,5.61628345269506,59.6683000376931,38.9370523935167,0.79155672823219,0.603090840557859,35.8398412279749,96.694214876033,5.76705616283452,31.9638145495665,20.9574067093856,11.8733509234828,8.66943083301922,31.9531953195319,12.5562556255625,8.32583258325832,4.81548154815481,0.855085508550855,1.44014401440144,3.6003600360036,5.94059405940594,1.3051305130513,0.36003600360036,87.3537353735373,84.2304776345716,1.44048521607278,0.303260045489007,94.0485216072782,0.0,24.9465811965811,44.9786324786324,16.3995726495726,13.6752136752136,5.18207282913165,22.1988795518207,15.3361344537815,54.2717086834733,0.630252100840336,0.140056022408964,1.75070028011204,0.490196078431373,7.76053215077605,3.32594235033259,21.3599408721359,7.3170731707317,2.58684405025868,28.750923872875,1.77383592017738,8.05617147080561,17.6644493717664,1.40428677014042,7.09534368070953,1.69992609016999,25.5728011825572,19.2165558019216,7.83444198078344,16.0384331116038,14.1167775314116,3.32594235033259,20.7689408217112,10.93102148511118,7.5763286845080895,5.670567056705664
