page,region,label,taux_pauvrete,vulnerabilite,severite,inegalite,idh,ids
27,GHARB-CHRARDA-BENI HSSEN,Inégalit é Sidi Kacem Al Haouafate,23.7,26.94,2.76,38.44,0.577,0.54
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Moulay Bousselham,22.43,24.48,2.87,41.52,0.514,0.486
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Bni Quolla,22.15,26.58,2.59,39.84,0.539,0.341
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Oulad Nouel,21.91,27.91,2.44,38.28,0.538,0.315
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Ermilate,21.76,27.06,2.76,37.06,0.531,0.855
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Masmouda,21.58,25.62,2.61,41.92,0.544,0.492
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Sidi Allal Tazi (AC),21.37,29.55,1.79,33.28,0.643,
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Souk Tlet El Gharb,21.1,25.75,2.49,40.59,0.514,0.692
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Kariat Ben Aouda,20.61,27.71,2.39,38.04,0.495,0.563
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Oulad H'Cine,20.34,29.3,2.15,35.09,0.529,0.634
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Sidi Yahya El Gharb (M),20.16,24.68,2.05,39.87,0.636,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Lamjaara,20.15,23.46,2.47,44.01,0.55,0.433
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Mnasra,19.47,26.22,2.35,38.38,0.494,0.434
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Sfafaa,19.23,22.66,2.67,41.23,0.526,0.671
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Ain Dfali,18.62,25.4,2.15,41.1,0.539,0.635
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Dar Bel Amri,18.24,21.38,2.14,46.91,0.565,0.601
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Sidi Al Kamel,17.79,27.65,2.01,35.43,0.527,0.676
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Sidi M'Hamed Chelh,17.62,29.99,1.84,34.11,0.51,0.443
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Dar Gueddari (M),17.32,29.03,1.44,33.72,0.639,
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Mehdya (M),17.23,26.5,1.46,36.06,0.606,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Sidi Redouane,17.08,23.78,1.94,43.0,0.552,0.542
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Zirara (AC),15.19,21.82,1.63,38.07,0.662,
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Ben Mansour,15.07,23.9,1.86,37.39,0.484,0.47
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Sidi Taîbi (AC),15.04,30.41,1.18,28.27,0.581,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Sidi Azzouz,14.96,24.84,1.74,37.36,0.513,0.577
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Jorf El Melha (M),14.4,19.36,1.67,41.73,0.652,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Ain Dorij (AC),14.37,21.06,1.4,38.99,0.635,
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Arbaoua,13.62,22.09,1.65,39.51,0.53,0.501
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Sidi Bousber,13.49,19.43,1.67,46.47,0.62,0.529
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Sidi Slimane (M),13.31,18.98,1.39,41.72,0.667,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Teroual,12.93,18.36,1.62,44.96,0.564,0.591
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Souk El Arbaa (M),12.47,17.96,1.34,41.14,0.665,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Khnichet (AC),12.0,19.72,1.19,38.42,0.612,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Ouezzane (M),11.97,17.56,1.26,42.41,0.661,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Sidi-Kacem (M),11.81,16.98,1.24,43.24,0.68,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Had Kourt (M),11.65,19.39,1.06,42.05,0.659,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Mechra Bel Ksiri (M),10.84,17.55,1.06,40.76,0.658,
27,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Arbaoua,10.59,19.95,1.25,37.27,0.562,0.401
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Arbaoua (AC),10.43,15.62,1.1,40.14,0.682,
27,GHARB-CHRARDA-BENI HSSEN,Kénitra Kénitra (M),9.9,15.6,0.99,44.7,0.702,
28,GHARB-CHRARDA-BENI HSSEN,Inégalit é Kénitra Sidi Boubker El Haj,7.38,12.14,0.96,40.67,0.558,0.571
28,GHARB-CHRARDA-BENI HSSEN,Sidi Kacem Taoughilt,6.46,13.34,0.77,36.53,0.581,0.508
28,GHARB-CHRARDA-BENI HSSEN,Kénitra Oued El Makhazine,5.82,10.03,0.72,46.36,0.575,0.464
29,CHAOUIA-OUARDIGHA,Khouribga Oulad Aissa,40.88,26.32,5.68,33.84,0.471,0.22
29,CHAOUIA-OUARDIGHA,Benslimane Ziaida,31.17,25.72,4.04,35.01,0.517,0.273
29,CHAOUIA-OUARDIGHA,Settat Riah,30.42,25.79,3.92,33.2,0.476,0.332
29,CHAOUIA-OUARDIGHA,Khouribga Braksa,29.54,27.42,3.35,32.15,0.495,0.134
29,CHAOUIA-OUARDIGHA,Benslimane Bir Ennasr,28.34,27.96,3.05,31.65,0.496,0.271
29,CHAOUIA-OUARDIGHA,Settat Bni Yagrine,28.29,26.46,3.27,32.71,0.44,0.254
29,CHAOUIA-OUARDIGHA,Settat Oulad Amer,27.68,24.7,3.53,32.91,0.5,0.776
29,CHAOUIA-OUARDIGHA,Khouribga Oulad Fennane,27.0,26.55,3.03,33.11,0.509,0.303
29,CHAOUIA-OUARDIGHA,Khouribga Bni Ykhlef,24.69,23.75,2.98,35.01,0.595,0.415
29,CHAOUIA-OUARDIGHA,Khouribga Chougrane,24.18,24.91,2.88,34.45,0.519,0.362
29,CHAOUIA-OUARDIGHA,Settat Oulad Chbana,23.72,25.36,2.61,32.75,0.484,0.384
29,CHAOUIA-OUARDIGHA,Khouribga Maadna,22.53,24.92,2.31,34.04,0.572,0.276
29,CHAOUIA-OUARDIGHA,Settat Sidi Abdelkrim,22.32,24.7,2.42,33.12,0.554,0.221
29,CHAOUIA-OUARDIGHA,Settat Oulad M'Hamed,21.95,23.79,2.49,34.63,0.458,0.154
29,CHAOUIA-OUARDIGHA,Settat Sgamna,21.89,24.87,2.34,32.86,0.485,0.322
29,CHAOUIA-OUARDIGHA,Settat Dar Chaffai,21.82,24.58,2.34,34.9,0.48,0.433
29,CHAOUIA-OUARDIGHA,Settat Sidi Boumehdi,21.75,21.53,2.65,34.9,0.583,0.256
29,CHAOUIA-OUARDIGHA,Khouribga Boulanouare,21.55,23.67,2.42,34.63,0.586,0.735
29,CHAOUIA-OUARDIGHA,Khouribga Kasbat Troch,21.47,23.81,2.3,40.63,0.563,0.468
29,CHAOUIA-OUARDIGHA,Khouribga Bir Mezoui,21.41,23.36,2.3,36.04,0.611,0.568
29,CHAOUIA-OUARDIGHA,Settat Oulad Bouali Nouaja,21.33,24.08,2.29,34.26,0.533,0.316
29,CHAOUIA-OUARDIGHA,Khouribga Rouached,21.25,25.32,2.16,31.24,0.527,0.271
29,CHAOUIA-OUARDIGHA,Khouribga Ait Ammar,20.85,23.53,2.22,35.07,0.553,0.284
29,CHAOUIA-OUARDIGHA,Settat Machraa Ben Abbou,20.5,24.98,2.07,33.75,0.516,0.249
29,CHAOUIA-OUARDIGHA,Settat Oulad Fares El Halla,20.35,22.89,2.09,33.41,0.543,0.347
29,CHAOUIA-OUARDIGHA,Khouribga Oulad Azzouz,20.28,22.99,2.16,33.94,0.55,0.487
29,CHAOUIA-OUARDIGHA,Settat Ain Blal,19.78,23.46,2.07,33.93,0.536,0.393
29,CHAOUIA-OUARDIGHA,Benslimane Ahlaf,19.77,22.84,2.07,35.52,0.515,0.199
29,CHAOUIA-OUARDIGHA,Benslimane Oulad Yahya Louta,19.66,22.5,2.32,35.46,0.609,0.327
29,CHAOUIA-OUARDIGHA,Khouribga Bni Bataou,19.53,25.1,1.85,32.74,0.511,0.357
29,CHAOUIA-OUARDIGHA,Settat Bouguargouh,19.53,22.69,2.11,34.01,0.516,0.279
29,CHAOUIA-OUARDIGHA,Settat Meskoura,19.34,23.9,1.95,32.59,0.515,0.36
29,CHAOUIA-OUARDIGHA,Khouribga Lagnadiz,19.3,22.88,2.0,34.51,0.492,0.305
29,CHAOUIA-OUARDIGHA,Settat Toualet,19.26,23.84,1.92,33.33,0.537,0.295
29,CHAOUIA-OUARDIGHA,Settat Laqraqra,19.14,22.28,1.99,39.76,0.501,0.397
29,CHAOUIA-OUARDIGHA,Settat Ain Nzagh,19.07,23.67,1.91,35.22,0.538,0.382
29,CHAOUIA-OUARDIGHA,Benslimane Mellila,18.92,22.23,2.03,35.89,0.517,0.289
29,CHAOUIA-OUARDIGHA,Khouribga Boukhrisse,18.62,25.16,1.74,30.52,0.426,0.356
29,CHAOUIA-OUARDIGHA,Khouribga El Foqra,18.59,22.82,2.01,34.41,0.545,0.436
29,CHAOUIA-OUARDIGHA,Settat Mniaa,18.54,22.79,1.83,33.35,0.525,0.289
30,CHAOUIA-OUARDIGHA,Benslimane Moualine El Oued,18.28,22.21,1.92,34.74,0.549,0.293
30,CHAOUIA-OUARDIGHA,Settat Foqra Oulad Aameur,18.08,23.01,1.79,33.8,0.479,0.348
30,CHAOUIA-OUARDIGHA,Khouribga Ain Kaicher,17.77,22.8,1.77,33.7,0.528,0.433
30,CHAOUIA-OUARDIGHA,Settat Oulad Fares,17.58,21.83,1.75,35.3,0.553,0.352
30,CHAOUIA-OUARDIGHA,Settat N'Khila,17.25,21.93,1.7,34.29,0.528,0.389
30,CHAOUIA-OUARDIGHA,Settat Oued Naanaa,17.25,21.88,1.77,34.71,0.598,0.332
30,CHAOUIA-OUARDIGHA,Settat Sahel Oulad H'Riz,17.2,22.22,1.77,33.64,0.501,0.41
30,CHAOUIA-OUARDIGHA,Settat El Borouj (M),17.13,19.73,2.38,43.13,0.635,
30,CHAOUIA-OUARDIGHA,Khouribga Bni Zrantel,17.02,22.54,1.67,33.99,0.424,0.511
30,CHAOUIA-OUARDIGHA,Settat Ben Maachou,16.88,21.8,1.73,34.76,0.596,0.324
30,CHAOUIA-OUARDIGHA,Settat Oulad Freiha,16.83,22.32,1.63,33.48,0.481,0.403
30,CHAOUIA-OUARDIGHA,Settat Zaouiat Sidi Ben Hamdoun,16.78,21.53,1.81,34.0,0.56,0.196
30,CHAOUIA-OUARDIGHA,Settat Sidi Hajjaj,16.04,21.3,1.63,34.95,0.526,0.409
30,CHAOUIA-OUARDIGHA,Settat Rima,15.97,21.19,1.54,33.35,0.434,0.178
30,CHAOUIA-OUARDIGHA,Settat Lahsasna,15.73,21.76,1.5,32.74,0.576,0.343
30,CHAOUIA-OUARDIGHA,Khouribga Bni Smir,15.55,21.43,1.53,34.19,0.529,0.424
30,CHAOUIA-OUARDIGHA,Settat Sidi Ahmed El Khadir,15.4,21.26,1.52,35.54,0.554,0.329
30,CHAOUIA-OUARDIGHA,Settat Sidi Rahal Chatai (AC),15.31,19.47,2.03,43.82,0.666,
30,CHAOUIA-OUARDIGHA,Settat Loulad (M),15.3,18.13,2.15,42.93,0.603,
30,CHAOUIA-OUARDIGHA,Khouribga Tachrafat,15.26,20.98,1.54,34.55,0.56,0.485
30,CHAOUIA-OUARDIGHA,Settat Sidi Abdelkhaleq,15.2,20.97,1.45,33.09,0.524,0.264
30,CHAOUIA-OUARDIGHA,Settat Sidi Mohammed Ben Rahal,15.08,21.47,1.39,35.12,0.559,0.32
30,CHAOUIA-OUARDIGHA,Benslimane Oulad Ali Toualaa,15.05,20.51,1.43,34.19,0.601,0.406
30,CHAOUIA-OUARDIGHA,Settat Oulad Said (AC),15.02,17.81,1.97,40.14,0.632,
30,CHAOUIA-OUARDIGHA,Settat Lahouaza,14.91,21.38,1.51,33.9,0.563,0.288
30,CHAOUIA-OUARDIGHA,Settat Sidi Dahbi,14.87,20.37,1.47,34.87,0.592,0.41
30,CHAOUIA-OUARDIGHA,Settat Jaqma,14.72,21.28,1.39,33.7,0.545,0.342
30,CHAOUIA-OUARDIGHA,Settat Guisser,14.61,20.6,1.45,33.32,0.573,0.489
30,CHAOUIA-OUARDIGHA,Khouribga Oulad Boughadi,14.52,20.49,1.43,35.81,0.571,0.407
30,CHAOUIA-OUARDIGHA,Settat Oulad Sghir,14.46,20.34,1.37,33.66,0.555,0.258
30,CHAOUIA-OUARDIGHA,Settat Laghnimyine,14.41,21.07,1.38,33.46,0.562,0.298
30,CHAOUIA-OUARDIGHA,Settat Oulad Aafif,14.25,20.61,1.36,32.6,0.534,0.338
30,CHAOUIA-OUARDIGHA,Settat Gdana,14.18,20.83,1.34,34.05,0.556,0.404
30,CHAOUIA-OUARDIGHA,Settat Oulad Abbou (M),14.13,17.89,1.86,43.02,0.646,
30,CHAOUIA-OUARDIGHA,Settat Ras El Ain Chaouia,14.08,20.78,1.3,33.49,0.532,0.263
30,CHAOUIA-OUARDIGHA,Settat Bni Khloug,14.08,20.13,1.39,34.43,0.561,0.526
31,CHAOUIA-OUARDIGHA,Settat Mzoura,14.03,20.57,1.32,33.15,0.54,0.294
31,CHAOUIA-OUARDIGHA,Settat Oulad Said,13.98,19.91,1.35,33.58,0.582,0.241
31,CHAOUIA-OUARDIGHA,Khouribga Oulad Abdoune,13.95,19.69,1.34,36.43,0.616,0.631
31,CHAOUIA-OUARDIGHA,Settat Lakhzazra,13.69,18.88,1.35,34.18,0.507,0.16
31,CHAOUIA-OUARDIGHA,Benslimane Ain Tizgha,13.68,20.14,1.24,35.34,0.616,0.397
31,CHAOUIA-OUARDIGHA,Settat Guisser (AC),13.62,16.61,1.83,39.59,0.657,
31,CHAOUIA-OUARDIGHA,Khouribga M'Fassis,13.2,19.34,1.26,34.55,0.64,0.419
31,CHAOUIA-OUARDIGHA,Khouribga Oulad Ftata,13.18,20.05,1.21,32.71,0.58,0.445
31,CHAOUIA-OUARDIGHA,Settat Mrizigue,13.08,19.73,1.23,33.42,0.532,0.387
31,CHAOUIA-OUARDIGHA,Settat Sidi El Aidi,13.05,20.24,1.24,33.62,0.576,0.356
31,CHAOUIA-OUARDIGHA,Settat Ouled Cebbah,12.97,18.91,1.26,35.01,0.572,0.414
31,CHAOUIA-OUARDIGHA,Khouribga Boulanouare (AC),12.6,17.82,1.57,37.96,0.684,
31,CHAOUIA-OUARDIGHA,Settat M'Garto,12.51,18.11,1.24,35.53,0.565,0.276
31,CHAOUIA-OUARDIGHA,Khouribga Hattane (M),12.35,17.01,1.61,38.85,0.676,
31,CHAOUIA-OUARDIGHA,Benslimane Bouznika (M),12.32,15.21,1.74,44.57,0.697,
31,CHAOUIA-OUARDIGHA,Benslimane Moualine El Ghaba,12.26,18.79,1.16,35.33,0.607,0.485
31,CHAOUIA-OUARDIGHA,Settat Ras E l Ain (AC),12.18,16.18,1.64,40.28,0.67,
31,CHAOUIA-OUARDIGHA,Settat Ain Dorbane,12.05,18.86,1.1,33.97,0.583,0.57
31,CHAOUIA-OUARDIGHA,Settat Oulad H'Riz Sahel (AC),12.02,15.95,1.65,44.66,0.702,
31,CHAOUIA-OUARDIGHA,Benslimane Sidi Bettache,11.97,17.41,1.18,38.34,0.638,0.639
31,CHAOUIA-OUARDIGHA,Khouribga Oulad Gouaouch,11.8,19.63,1.09,31.52,0.547,0.493
31,CHAOUIA-OUARDIGHA,Settat Lahlaf M'Zab,11.76,17.93,1.06,36.38,0.552,0.228
31,CHAOUIA-OUARDIGHA,Khouribga Lagfaf,11.68,17.42,1.12,36.1,0.628,0.653
31,CHAOUIA-OUARDIGHA,Khouribga Bejaad (M),11.6,15.6,1.53,43.3,0.661,
31,CHAOUIA-OUARDIGHA,Settat Ouled Zidane,11.5,17.78,1.12,34.69,0.613,0.27
31,CHAOUIA-OUARDIGHA,Settat Tamadroust,11.34,18.27,1.02,33.94,0.544,0.428
31,CHAOUIA-OUARDIGHA,Settat El Gara (M),11.28,15.21,1.47,42.74,0.626,
31,CHAOUIA-OUARDIGHA,Benslimane Cherrat,11.28,18.47,1.02,32.75,0.605,0.582
31,CHAOUIA-OUARDIGHA,Settat Lambarkiyine,11.27,18.03,1.05,33.36,0.566,0.404
31,CHAOUIA-OUARDIGHA,Benslimane Fdalate,10.56,17.45,0.99,35.52,0.6,0.385
31,CHAOUIA-OUARDIGHA,Khouribga Oued Zem (M),10.55,14.97,1.33,42.6,0.665,
31,CHAOUIA-OUARDIGHA,Settat Oulad M'Rah (M),10.05,14.07,1.34,41.46,0.685,
31,CHAOUIA-OUARDIGHA,Benslimane Rdadna Oulad Malek,10.02,16.35,0.85,34.56,0.607,0.495
31,CHAOUIA-OUARDIGHA,Settat Sidi Rahal Chatai,9.99,17.32,0.85,34.12,0.589,0.641
31,CHAOUIA-OUARDIGHA,Settat Soualem,9.89,16.68,0.86,34.98,0.614,0.453
31,CHAOUIA-OUARDIGHA,Khouribga Boujniba (M),9.86,14.46,1.26,39.39,0.683,
31,CHAOUIA-OUARDIGHA,Settat Lakhiaita,9.43,16.46,0.84,35.78,0.591,0.559
31,CHAOUIA-OUARDIGHA,Settat Kasbat Ben Mchich,9.4,16.34,0.85,33.65,0.585,0.415
32,CHAOUIA-OUARDIGHA,Settat Deroua (AC),9.36,12.35,1.26,41.85,0.7,
32,CHAOUIA-OUARDIGHA,Settat Deroua,8.97,15.96,0.79,34.69,0.624,0.633
32,CHAOUIA-OUARDIGHA,Settat Ben Ahmed (M),8.41,11.32,1.11,44.34,0.704,
32,CHAOUIA-OUARDIGHA,Settat Berrechid (M),8.37,11.22,1.12,44.48,0.72,
32,CHAOUIA-OUARDIGHA,Settat Khemisset Chaouia,8.3,15.78,0.71,33.93,0.571,0.504
32,CHAOUIA-OUARDIGHA,Settat Settat (M),8.18,11.26,1.07,44.55,0.713,
32,CHAOUIA-OUARDIGHA,Benslimane Benslimane (M),8.01,10.92,1.05,43.53,0.724,
32,CHAOUIA-OUARDIGHA,Settat Soualem (AC),8.01,11.33,1.05,42.76,0.698,
32,CHAOUIA-OUARDIGHA,Settat Sidi El Mekki,7.58,14.18,0.64,34.7,0.61,0.673
32,CHAOUIA-OUARDIGHA,Khouribga Khouribga (M),7.23,10.25,0.93,43.43,0.715,
32,CHAOUIA-OUARDIGHA,Benslimane El Mansouria,4.75,10.65,0.38,39.41,0.685,0.864
33,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghn Akarma,46.34,34.84,4.34,24.28,0.486,0.149
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira M'Ramer,43.59,29.59,5.67,31.53,0.431,0.178
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Ishaq,42.87,28.46,6.26,33.01,0.413,0.201
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Ali El Korati,42.17,22.93,8.1,38.32,0.475,0.249
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Imgrade,41.65,24.69,6.91,36.74,0.45,0.093
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Lalla Aaziza,41.43,25.26,6.16,36.79,0.377,0.065
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi El Jazouli,41.17,26.77,6.54,34.6,0.432,0.22
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Laaroussi,41.04,27.86,5.8,33.54,0.451,0.104
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi H'Mad Ou M'Barek,40.48,22.84,7.13,38.48,0.466,0.318
33,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghn Oulad Hassoune Hamri,40.19,36.47,3.83,25.58,0.5,0.244
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Zaouia Annahlia,39.9,28.29,5.21,34.24,0.484,0.37
33,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghn Sidi Boubker,39.86,33.35,4.46,28.27,0.473,0.362
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Boulaalam,39.67,27.25,5.87,34.7,0.478,0.219
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Bouabout Amdlane,39.56,27.71,5.94,34.24,0.379,0.017
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Ait Aissi Ihahane,39.45,22.41,7.04,40.07,0.407,0.211
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Lagdadra,39.05,25.79,6.22,35.85,0.481,0.261
33,MARRAKECH-TENSIFT-ALHAOUZ,Al Haouz Zerkten,39.03,25.86,5.72,35.57,0.417,0.295
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Targante,38.84,27.63,5.61,33.87,0.501,0.126
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Lahsinate,38.66,26.1,6.07,35.22,0.527,0.189
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Imindounit,38.61,26.03,6.04,35.69,0.299,0.036
33,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Sour El Aaz,38.49,24.46,6.0,36.21,0.471,0.554
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Ait Haddou Youssef,38.2,27.16,5.07,34.67,0.408,0.07
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Takate,38.06,23.2,6.72,38.42,0.423,0.246
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Aissa Regragui,38.01,26.88,5.53,34.74,0.412,0.118
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira M'Khalif,37.96,25.42,6.18,36.35,0.508,0.32
33,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Errafiaya,37.92,26.83,5.36,34.33,0.501,0.58
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Hmad Ou Hamed,37.59,25.46,5.95,35.29,0.356,0.095
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi M'Hamed Ou Marzouq,37.58,28.44,5.19,33.44,0.445,0.228
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Bouabout,37.55,26.1,5.65,35.88,0.389,0.198
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Ain Tazitounte,37.53,23.53,5.6,39.15,0.441,0.261
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Timezgadiouine,37.37,27.28,4.88,34.94,0.422,0.16
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Mzilate,37.36,33.65,4.01,27.87,0.457,0.209
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Kouzemt,37.27,24.86,6.27,37.06,0.448,0.17
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Tafetachte,37.13,28.88,4.82,32.52,0.482,0.233
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Timlilt,37.01,28.82,4.83,32.81,0.416,0.301
33,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua M'Zouda,36.89,26.74,5.3,35.24,0.484,0.365
33,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Aglif,36.7,24.88,5.79,37.07,0.419,0.175
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Tidzi,36.46,25.34,5.89,36.18,0.435,0.198
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Bizdad,36.18,23.44,6.17,38.98,0.453,0.398
34,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Jaafra,36.17,35.37,3.59,27.34,0.427,0.166
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Mouarid,36.14,27.13,5.31,34.57,0.418,0.242
34,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Skoura Lhadra,36.07,35.67,3.54,26.34,0.34,0.163
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Bouzemmour,35.97,23.22,5.97,38.67,0.433,0.146
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Zaouiat Ben Hmida,35.92,22.0,6.34,39.62,0.553,0.447
34,MARRAKECH-TENSIFT-ALHAOUZ,Al Haouz Ighil,35.85,25.24,5.29,36.03,0.365,0.053
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Abdeljalil,35.75,25.11,5.71,36.84,0.492,0.204
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Oulad M'Rabet,35.64,32.77,4.07,28.98,0.474,0.266
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Had Dra,35.37,23.87,5.88,38.68,0.537,0.394
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Aguerd,35.2,26.14,5.16,35.52,0.452,0.26
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Ounagha,35.1,25.24,5.47,36.79,0.466,0.25
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Kechoula,34.98,30.55,4.35,31.52,0.484,0.029
34,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Rahhala,34.91,28.6,4.62,32.61,0.426,0.044
34,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Sidi Bou Othmane,34.75,37.74,2.95,25.47,0.503,0.223
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Ida Ou Guelloul,34.52,26.58,5.1,34.46,0.531,0.227
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Imi N'Tlit,34.51,21.94,6.0,39.53,0.471,0.359
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Ida Ou Kazzou,34.4,26.93,4.78,34.86,0.477,0.057
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Aquermoud,34.36,25.55,5.35,36.37,0.462,0.289
34,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Ait Hammou,34.35,35.42,3.4,27.17,0.48,0.292
34,MARRAKECH-TENSIFT-ALHAOUZ,Chichaoua Sidi Ghanem,34.33,22.7,5.16,39.51,0.4,0.228
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Mejji,34.19,27.93,4.79,34.11,0.486,0.166
34,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Jaidate,33.92,33.03,3.64,28.92,0.503,0.54
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Timizguida Ouftas,33.78,28.24,4.48,32.65,0.514,0.129
34,MARRAKECH-TENSIFT-ALHAOUZ,El Kelaa Des Sraghna Hiadna,33.67,35.68,3.18,26.5,0.484,0.411
34,MARRAKECH-TENSIFT-ALHAOUZ,Al Haouz Ouazguita,33.63,30.56,4.02,30.96,0.402,0.109
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Ida Ou Aazza,33.21,28.64,4.24,32.89,0.427,0.341
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Sidi Ghaneme,32.69,27.48,4.54,33.7,0.418,0.217
34,MARRAKECH-TENSIFT-ALHAOUZ,Essaouira Takoucht,32.53,26.35,4.81,34.79,0.434,0.107
