unit,name14,prov14,lon,lat,geonameid,fcode,display
06.461.03.17.,Oued Naanaa,Settat,-7.33258,33.0204,10936126,PPL,Oued Naanaa
07.041.11.07.,Ait Hkim-Ait Yzid,Al  Haouz,-7.20407,31.48829,6546603,ADM3,Ait Hkim Ait Yzid
07.161.07.15.,Zaouia Annahlia,Chichaoua,-8.64786,31.22011,6546645,ADM3,Zaouia Annahlia
07.191.01.03.,El Kelaâ des Sraghna (Mun.),El Kelâa des  Sraghna,-7.39928,32.05457,11881877,ADM3,Municipalité d’El Kelaâ des Sraghna
07.191.01.05.,Laattaouia (Mun.),El Kelâa des  Sraghna,-7.33318,31.83882,6546746,ADM3,Laattaouia
07.191.03.19.,Oulad Bouali Loued,El Kelâa des  Sraghna,-7.20009,32.1402,6546758,ADM3,Oulad Bouali Loued
07.191.03.31.,Oulad Yaacoub,El Kelâa des  Sraghna,-7.29568,32.0271,6545889,ADM3,Oulad Yaacoub
07.211.03.03.,Aquermoud,Essaouira,-9.53913,31.78101,6546654,ADM3,Aquermoud
07.351.01.01.,Méchouar-Kasba (Mun.),Marrakech,-8.04582,31.64432,6545593,ADM3,Mechouar Kasba
07.351.03.11.,Ouled Dlim,Marrakech,-8.30237,31.90388,6546780,ADM3,Ouled Dlim
07.427.07.19.,Sidi Ghanem,Rehamna,-7.98151,32.6986,6546212,ADM3,Sidi Ghanem
07.427.07.23.,Skhour Rehamna,Rehamna,-7.91533,32.48244,2532646,PPL,Skhour Rehamna
07.427.09.15.,Sidi Boubker,Rehamna,-7.74018,31.85799,6546067,ADM3,Sidi Boubker
07.431.01.03.,Safi (Mun.),Safi,-8.83333,32.16667,2537878,ADM2,Safi
07.431.03.02.,Chahda,Safi,-4.23,34.66,2553296,PPL,Chihda
07.585.05.11.,Jnane Bouih,Youssoufia,-8.71505,31.96865,6546638,ADM3,Jnane Bouih
08.201.07.09.,Oued Naam,Errachidia,-3.65488,31.92251,11912643,ADM4,Oued Naam
08.201.13.05.,Ferkla Es-soufla,Errachidia,-5.03594,31.58738,6546292,ADM3,Ferkla Es-Soufla
08.363.09.05.,Guers Tiaallaline,Midelt,-4.45538,32.22416,6546055,ADM3,Guers Tiaallaline
08.401.03.05.,Iznaguen,Ouarzazate,-5.20155,32.16181,2545460,PPL,Isnaguene
08.577.05.25.,Souk Lakhmis Dades,Tinghir,-5.98662,31.24482,6545847,ADM3,Souk Lakhmis Dades
08.587.03.07.,Ait Ouallal,Zagora,-5.91311,30.87975,6545592,ADM3,Ait Ouallal
08.587.03.27.,Oulad Yahia Lagraire,Zagora,-6.22587,30.53048,6545939,ADM3,Oulad Yahia Lagraire
09.001.07.13.,Imouzzer,Agadir-Ida -Ou-Tanane,-9.56236,30.67401,6545799,ADM3,Imouzzer
09.163.03.35.,Targua Ntouchka,Chtouka- Ait Baha,-9.17506,29.90656,6545837,ADM3,Targua Ntouchka
09.273.01.17.,Lqliaa (Mun.),Inezgane- Ait Melloul,-9.46597,30.29759,10375044,PPL,Lqoliaa
09.541.01.05.,Irherm (Mun.),Taroudannt,-8.46479,30.12118,11882771,ADM3,Irherm
09.541.04.39.,Sidi Abdellah Ou Said,Taroudannt,-9.54995,31.56737,10898778,PPL,Sidi Abdellah Ou Said
09.541.07.21.,Tizgzaouine,Taroudannt,-8.05782,30.39104,6546485,ADM3,Tizgzaouine
09.541.09.71.,Zaouia Sidi Tahar,Taroudannt,-9.09255,30.50636,6545930,ADM3,Zaouia Sidi Tahar
10.071.05.01.,Al Mahbass,Assa-Zag,-8.96631,27.87637,11912866,ADM4,Al Mahbass
10.261.07.15.,Rass Oumlil,Guelmim,-10.77805,28.65213,6545897,ADM3,Rass Oumlil
10.473.05.01.,Arbaa Ait Abdellah,Sidi Ifni,-9.87444,29.33527,6546585,ADM3,Arbaa Ait Abdellah
11.121.01.01.,Boujdour (Mun.),Boujdour,-14.32129,26.12681,6546490,ADM3,Boujdour
11.121.03.01.,Gueltat Zemmour,Boujdour,-12.89066,25.25419,6545648,ADM3,Gueltat Zemmour
11.121.03.03.,Jraifia,Boujdour,-14.2341,25.26265,6545649,ADM3,Jraifia
11.121.03.05.,Lamssid,Boujdour,-13.29071,26.00324,6545513,ADM3,Lamssid
11.221.01.01.,Es-semara (Mun.),Es-Semara,-11.0,27.75,2595330,ADM2,Es-Semara
11.221.03.01.,Amgala,Es-Semara,-11.69188,26.26867,6546500,ADM3,Amgala
11.221.03.03.,Haouza,Es-Semara,-11.20923,27.1272,6545651,ADM3,Haouza
11.221.03.05.,Jdiriya,Es-Semara,-9.77815,27.16292,6545652,ADM3,Jdiriya
11.221.03.07.,Sidi Ahmed Laaroussi,Es-Semara,-11.99975,27.04662,6545661,ADM3,Sidi Ahmed Laaroussi
11.221.03.09.,Tifariti,Es-Semara,-9.82045,26.33348,6545662,ADM3,Tifariti
11.321.01.01.,El Marsa (Mun.),Laâyoune,-13.4,27.091,6545660,ADM3,Elmarsa
11.321.01.03.,Laayoune (Mun.),Laâyoune,-12.33333,27.83333,2543878,ADM2,Laayoune
11.321.03.01.,Boukraa,Laâyoune,-12.80895,26.65006,6546040,ADM3,Boukraa
11.321.03.03.,Dcheira,Laâyoune,-12.61965,26.97639,6546491,ADM3,Dcheira
11.321.03.05.,Foum El Oued,Laâyoune,-13.35796,26.92486,6546492,ADM3,Foum El Oued
11.537.01.05.,Tarfaya (Mun.),Tarfaya,-12.36851,27.84864,11882783,ADM3,Cercle de Tarfaya
11.537.03.03.,Daoura,Tarfaya,-12.85308,27.46033,6546494,ADM3,Daoura
11.537.03.05.,El Hagounia,Tarfaya,-12.29061,27.6776,11912838,ADM4,El Hagounia
